"SYMBOL","COMPANY NAME","SERIES","PURPOSE","FACE VALUE","EX-DATE","RECORD DATE","BOOK CLOSURE START DATE","BOOK CLOSURE END DATE"
"CENTEXT","Century Extrusions Limited","EQ","Agm/Rights-35:12","1","17-Aug-2005","-","24-Aug-2005","26-Aug-2005"
"UNIWESTBNK","United Western Bank Limited","EQ","Bonus - 1:5/Rights - 1:2","10","17-Jan-2006","-","24-Jan-2006","25-Jan-2006"
"OCL","OCL India Limited","EQ","Agm/Div-50%/Rights-1:6","2","29-Aug-2006","-","05-Sep-2006","09-Sep-2006"
"CEMPRO","Cemindia Projects Limited","EQ","Rights 1:4 @Prem Rs.480/-","1","08-Sep-2006","15-Sep-2006","-","-"
"TATACOFFEE","Tata Coffee Limited","EQ","Rights-1 Pcd:2 Eq @Rs.400","1","19-Oct-2006","30-Oct-2006","-","-"
"TTML","Tata Teleservices (Maharashtra) Limited","EQ","Rights-19:100 @ Prem Rs.7","10","19-Oct-2006","28-Oct-2006","-","-"
"BAJFINANCE","Bajaj Finance Limited","EQ","Right-Eq6:10 & 1ncd:4eq","1","13-Nov-2006","20-Nov-2006","-","-"
"LAKSHVILAS","Lakshmi Vilas Bank Limited","EQ","Bonus 1:2/Rights 1:1","10","17-Nov-2006","24-Nov-2006","-","-"
"DIGJAM","Digjam Limited","EQ","Rights 4:7 At Par","10","21-Nov-2006","28-Nov-2006","-","-"
"ABIRLANUVO","Aditya Birla Nuvo Limited","EQ","Rights 2:17@Prem Rs.783/-","10","01-Dec-2006","08-Dec-2006","-","-"
"KARURVYSYA","Karur Vysya Bank Limited","EQ","Rights 1:2@Prem Rs.60/-","2","13-Dec-2006","20-Dec-2006","-","-"
"LGBROS","LG Balakrishnan & Bros Limited","EQ","Right-1 Bond:9eqsh@Rs.101","1","22-Jan-2007","31-Jan-2007","-","-"
"ORIENTPPR","Orient Paper & Industries Limited","EQ","Div-60% / Rights-Eq 3:10 Purpose Revised","1","08-Jun-2007","15-Jun-2007","-","-"
"GTLINFRA","GTL Infrastructure Limited","EQ","Rights 1:1 At Par","10","20-Jul-2007","27-Jul-2007","-","-"
"CHOLAFIN","Cholamandalam Investment and Finance Company Limited","EQ","Rights Equity/Warrant","2","11-Sep-2007","18-Sep-2007","-","-"
"DICIND","DIC India Limited","EQ","Rights-Eq 1:3@ Prem Rs215","10","19-Oct-2007","26-Oct-2007","-","-"
"TATASTEEL","Tata Steel Limited","EQ","Right-Eq1:5 & 9ccps:10eq","1","29-Oct-2007","05-Nov-2007","-","-"
"CEMPRO","Cemindia Projects Limited","EQ","Rights-Eq 1:1@Prem Rs.415","1","30-Oct-2007","06-Nov-2007","-","-"
"HINDOILEXP","Hindustan Oil Exploration Company Limited","EQ","Rights-Eq 2:3@ Prem Rs107","10","15-Nov-2007","-","22-Nov-2007","03-Dec-2007"
"FEDERALBNK","The Federal Bank  Limited","EQ","Rights-Eq 1:1@Prem Rs.240","2","19-Nov-2007","26-Nov-2007","-","-"
"EXIDEIND","Exide Industries Limited","EQ","Rights-Eq 1:15@Prem Rs.29","1","10-Dec-2007","17-Dec-2007","-","-"
"NANDAN","Nandan Exim Limited","EQ","Rights-Eq 1:2@Prem Rs.2","1","12-Dec-2007","19-Dec-2007","-","-"
"DHANBANK","Dhanlaxmi Bank Limited","EQ","Rights-Eq 1:1@Prem Rs 52","10","23-Jan-2008","30-Jan-2008","-","-"
"SBIN","State Bank of India","EQ","Rights-Eq 1:5@Prem Rs1580","1","28-Jan-2008","04-Feb-2008","-","-"
"NETWORK18","Network18 Media & Investments Limited","EQ","Rights - 1pccps:5eq","5","11-Mar-2008","18-Mar-2008","-","-"
"GODREJCP","Godrej Consumer Products Limited","EQ","Rights-Eq 1:7@Prem Rs122","1","12-Mar-2008","19-Mar-2008","-","-"
"ENTEGRA","Entegra Limited","EQ","Rights Eq 1:1@Prem Rs 15","10","26-Jun-2008","04-Jul-2008","-","-"
"JKTYRE","JK Tyre & Industries Limited","EQ","Rights-Eq 1:3@Prem Rs 75","2","07-Jul-2008","14-Jul-2008","-","-"
"TMPV","Tata Motors Passenger Vehicles Limited","EQ","Rights Eq 1:6/Dif Vot 1:6","2","09-Sep-2008","16-Sep-2008","-","-"
"DISHTV","Dish TV India Limited","EQ","Rights-121:100 Prem@Rs.21","1","08-Oct-2008","16-Oct-2008","-","-"
"FMGOETZE","Federal-Mogul Goetze (India) Limited.","EQ","Rights 71:100 Prem@Rs.46","10","03-Nov-2008","10-Nov-2008","-","-"
"IMPEXFERRO","Impex Ferro Tech Limited","EQ","Agm/Rights 1:1 Prem@Rs.6 Purpose Revised","10","17-Sep-2009","-","19-Sep-2009","24-Sep-2009"
"TV-18","Television Eighteen India Limited","EQ","Rights 1:2 Prem@Rs.79/-","5","18-Sep-2009","22-Sep-2009","-","-"
"LAKSHVILAS","Lakshmi Vilas Bank Limited","EQ","Rights 1:1 Prem@Rs.44/-","10","24-Sep-2009","25-Sep-2009","-","-"
"CUB","City Union Bank Limited","EQ","Rights 1:4 Prem@Rs.5/-","1","12-Nov-2009","13-Nov-2009","-","-"
"INFOMEDIA","Infomedia Press Limited","EQ","Rights 3:2@Prem Rs.23.50","10","18-Dec-2009","21-Dec-2009","-","-"
"RELIGARE","Religare Enterprises Limited","EQ","Rights 2:3@Prem Rs.345/-","10","15-Jan-2010","18-Jan-2010","-","-"
"HINDUJAFO","Hinduja Foundries Limited","EQ","Rights 7:13 @Prem Rs.40/-","10","03-Feb-2010","04-Feb-2010","-","-"
"SMLMAH","SML Mahindra Limited","EQ","Rights 19:50@Prem Rs.190","10","09-Feb-2010","10-Feb-2010","-","-"
"ANDHRAPAP","ANDHRA PAPER LIMITED","EQ","Rights-Eq3:11 & 1wrnt:1eq","2","23-Feb-2010","24-Feb-2010","-","-"
"TV18BRDCST","TV18 Broadcast Limited","EQ","Rights 3:10 @Prem Rs.91.5","2","03-Mar-2010","04-Mar-2010","-","-"
"ADANIENT","Adani Enterprises Limited","EQ","Rights 1:16 @Prem Rs.474","1","23-Mar-2010","25-Mar-2010","-","-"
"ECEIND","ECE Industries Limited","EQ","Rights 1:1 @ Premium Rs.90/-","10","26-May-2010","28-May-2010","-","-"
"REIAGROLTD","Rei Agro Limited","EQ","Rights 2:1 @ Premium Rs.18.50","1","07-Jun-2010","08-Jun-2010","-","-"
"SUZLON","Suzlon Energy Limited","EQ","Rights 2:15 @ Premium Rs.61/-","2","09-Jun-2010","10-Jun-2010","-","-"
"SADBHAV","Sadbhav Engineering Limited","EQ","Rights Eq 1:20 @ Premium Rs.715 Per Share And 3 Warrants : 1 Eq","1","16-Jun-2010","17-Jun-2010","-","-"
"GULFOILCOR","Gulf Oil Corporation Limited","EQ","Dividend Rs.1.80 Per Share And Rights 1:3 @ Premium Rs.30/- Per Share","2","27-Jul-2010","-","29-Jul-2010","29-Jul-2010"
"ROHITFERRO","Rohit Ferro-Tech Limited","EQ","Rights 2:5 @ Premium Rs.50/- Per Share","10","18-Aug-2010","20-Aug-2010","-","-"
"MYSOREBANK","State Bank of Mysore","EQ","Rights 3:10 @ Premium Rs.530/- Per Share","10","02-Sep-2010","04-Sep-2010","-","-"
"MURUDCERA","Murudeshwar Ceramics Limited","EQ","Rights 1:1 @ Premium Rs.10/- Per Share","10","19-Oct-2010","20-Oct-2010","-","-"
"STAN","Standard Chartered PLC","DR","To Distribute Net Proceeds From The Sale Of Rights Entitlement",,"22-Oct-2010","25-Oct-2010","-","-"
"JYOTISTRUC","Jyoti Structures Limited","EQ","Rights Issue - 1 Ncd (Issue Price Rs.120/- Per Ncd) With 2 Detachable Warrants (Exercise Price Rs.120/- Per Warrant) For Every 8 Equity Shares","2","13-Jan-2011","15-Jan-2011","-","-"
"KARURVYSYA","Karur Vysya Bank Limited","EQ","Rights 2:5 @ Premium Rs.140/- Per Share","2","17-Feb-2011","18-Feb-2011","-","-"
"EIHOTEL","EIH Limited","EQ","Rights 5:11 @ Premium Rs.64/- Per Share","2","21-Feb-2011","22-Feb-2011","-","-"
"KTKBANK","The Karnataka Bank Limited","EQ","Rights 2:5 @ Premium Rs 75 Per Share","10","25-Feb-2011","28-Feb-2011","-","-"
"ARROWTEX","Arrow Textiles Limited","EQ","Rights 2:5 @ Premium Re 1 Per Share","10","03-Mar-2011","04-Mar-2011","-","-"
"TULSYAN","Tulsyan Nec Limited","EQ","Rights At 2:1 At A Premium Of Rs.39.50 Per Share","10","10-Mar-2011","12-Mar-2011","-","-"
"SBBJ","State Bank of Bikaner and Jaipur","EQ","Rights 2:5 @ Premium Of Rs 380 Per Share","10","16-Mar-2011","17-Mar-2011","-","-"
"CENTRALBK","Central Bank of India","EQ","Rights Issue - 3:5 @ Premium Rs.93/-","10","17-Mar-2011","18-Mar-2011","-","-"
"ASAL","Automotive Stampings and Assemblies Limited","EQ","Rights 5:9 @ Premium Rs. 42 Per Share","10","09-Jun-2011","10-Jun-2011","-","-"
"ELFORGE","EL Forge Limited","EQ","Issues Price Per Equity Share Is At Par And Ratio Of The Rights  Is 3:2 (Three Equity Shares For Every Two Shares Held)","10","29-Jun-2011","30-Jun-2011","-","-"
"JKPAPER","JK Paper Limited","EQ","Rights 3:4 @ Premium Rs.32/- Per Share","10","26-Jul-2011","27-Jul-2011","-","-"
"BAJAJHIND","Bajaj Hindusthan Sugar Limited","EQ","Rights 2:1 @ Premium Rs.35/- Per Share","1","21-Sep-2011","22-Sep-2011","-","-"
"FAME","Fame India Limited","EQ","Rights 58:100 @ Premium Rs.34/- Per Share","10","24-Jan-2012","25-Jan-2012","-","-"
"GAYAPROJ","Gayatri Projects Limited","EQ","Rights 1:1 @ Premium Rs.110 Per Share","2","22-Feb-2012","23-Feb-2012","-","-"
"LGBFORGE","LGB Forge Limited","EQ","Rights 1:2 @ Premium Rs.1.75 Per Share","1","20-Mar-2012","21-Mar-2012","-","-"
"NEULANDLAB","Neuland Laboratories Limited","EQ","Rights 5:12 @ Premium Rs.35/- Per Share","10","21-Mar-2012","23-Mar-2012","-","-"
"SPARC","Sun Pharma Advanced Research Company Limited","EQ","Rights 1: 7@ Premium Rs 66 Per Share","1","23-Aug-2012","-","25-Aug-2012","27-Aug-2012"
"UTTAMSUGAR","Uttam Sugar Mills Limited","EQ","Rights 12:25 @ Premium Rs.12/- Per Share","10","05-Sep-2012","-","07-Sep-2012","07-Sep-2012"
"BAJAJFINSV","Bajaj Finserv Limited","EQ","Rights 1:10 @ Premium Rs.645/- Per Share","1","06-Sep-2012","08-Sep-2012","-","-"
"EIHAHOTELS","EIH Associated Hotels Limited","EQ","Rights 5:9 @ Premium Rs.90/- Per Share","10","11-Sep-2012","12-Sep-2012","-","-"
"NETWORK18","Network18 Media & Investments Limited","EQ","Rights 307:50 @ Premium Rs.25/- Per Share","5","11-Sep-2012","12-Sep-2012","-","-"
"TV18BRDCST","TV18 Broadcast Limited","EQ","Rights 41:11 @ Premium Rs.18/- Per Share","2","14-Sep-2012","17-Sep-2012","-","-"
"CUB","City Union Bank Limited","EQ","Rights 1:4 @ Premium Rs.19/- Per Share","1","22-Nov-2012","23-Nov-2012","-","-"
"TATASTLBSL","Tata Steel Bsl Limited","EQ","Right Issue 1:15 @ Premium Of Rs 333 Per Share","2","15-Jan-2013","16-Jan-2013","-","-"
"BAJFINANCE","Bajaj Finance Limited","EQ","Rights 3:19 @ Premium Rs 1090 Per Share","1","23-Jan-2013","25-Jan-2013","-","-"
"ALOKTEXT","Alok Industries Limited","EQ","Rights - 2:3@ Par Rs 10 Per Share","10","15-Feb-2013","19-Feb-2013","-","-"
"BOSCH-HCIL","BOSCH HOME COMFORT INDIA LIMITED","EQ","Rights 1:5 @ Premium Rs.120 Per Share","10","05-Mar-2013","06-Mar-2013","-","-"
"KESORAMIND","Kesoram Industries Limited","EQ","Rights 7:5@Premium Rs.55 Per Share/Annual General Meeting / Dividend Re.1/- Per Equity Share (Purpose Revised)","10","15-May-2013","16-May-2013","-","-"
"RELMEDIA","Reliance MediaWorks Limited","EQ","Rights 13:4 @ Premium Rs.35 Per Share","5","23-Jul-2013","24-Jul-2013","-","-"
"ASAHIINDIA","Asahi India Glass Limited","EQ","Rights 13:25 @ Premium Rs 29/- Per Share","1","26-Jul-2013","-","30-Jul-2013","30-Jul-2013"
"KOKUYOCMLN","Kokuyo Camlin Limited","EQ","Rights 14:29 @ Premium Rs.32/- Per Share","1","01-Aug-2013","02-Aug-2013","-","-"
"GODREJPROP","Godrej Properties Limited","EQ","Rights 8:29 @ Premium Rs.315/- Per Equity Share","5","19-Aug-2013","20-Aug-2013","-","-"
"UNIENTER","Uniphos Enterprises Limited","EQ","Rights 173:100 @ Premium Rs.15/- Per Share","2","18-Sep-2013","19-Sep-2013","-","-"
"COROENGG","Coromandel Engineering Company Limited","EQ","Rights 91:10 @ Premium Rs.10/- Per Share","10","13-Jan-2014","15-Jan-2014","-","-"
"MUKANDLTD","Mukand Limited","EQ","Rights 1:1 @ Premium Rs.11/- Per Equity Share","10","10-Feb-2014","11-Feb-2014","-","-"
"WHEELS","Wheels India Limited","EQ","Rights 51:20 @ Premium Rs.390/- Per Equity Share","10","13-Feb-2014","14-Feb-2014","-","-"
"IL&FSTRANS","IL&FS Transportation Networks Limited","EQ","Rights 27:100 @ Premium Rs.90/- Per Equity Share","10","13-Mar-2014","14-Mar-2014","-","-"
"EASUNREYRL","Easun Reyrolle Limited","EQ","Rights 12:25 @ Premium Rs.57/- Per Equity Share","2","13-Mar-2014","17-Mar-2014","-","-"
"TATAPOWER","Tata Power Company Limited","EQ","Rights 7:50 @ Premium Rs.59/- Per Equity Share","1","19-Mar-2014","20-Mar-2014","-","-"
"RAMCOSYS","Ramco Systems Limited","EQ","Rights 1:2 @ Premium Rs.145/- Per Equity Share","10","22-Apr-2014","23-Apr-2014","-","-"
"LAKSHVILAS","Lakshmi Vilas Bank Limited","EQ","Dividend Re1/- Per Share + Rights Issue 5:6","10","25-Jul-2014","28-Jul-2014","-","-"
"NEULANDLAB","Neuland Laboratories Limited","EQ","Rights Issue 4 : 25 @ Premium Rs 194/- Per Equity Share","10","13-Aug-2014","14-Aug-2014","-","-"
"ONIDA","Onida Electronics Limited","EQ","Rights 5:13 @Premium Rs.5","1","18-Sep-2014","-","22-Sep-2014","22-Sep-2014"
"NCC","NCC Limited","EQ","Rights 7 : 6 @ Premium Rs 18/- Per Share","2","18-Sep-2014","19-Sep-2014","-","-"
"FEL","Future Enterprises Limited","EQ","Rights 5:8 @ Premium Rs.101/- Per Equity Share","2","18-Nov-2014","19-Nov-2014","-","-"
"FELDVR","Future Enterprises Limited","EQ","Rights 5:8 @ Premium Rs 48.25/- Per Equity Share","2","18-Nov-2014","19-Nov-2014","-","-"
"CANFINHOME","Can Fin Homes Limited","EQ","Rights 3:10 @ Premium Rs 440/- Per Share","2","23-Jan-2015","27-Jan-2015","-","-"
"SBT","State Bank of Travancore","EQ","Rights 1:5 @ Premium Rs 390/- Per Share","10","03-Mar-2015","04-Mar-2015","-","-"
"GMRAIRPORT","GMR AIRPORTS LIMITED","EQ","Rights 3:14 @ Premium Rs 14/- Per Share","1","11-Mar-2015","12-Mar-2015","-","-"
"ZEEMEDIA","Zee Media Corporation Limited","EQ","Rights 3:10 @ Premium Rs 17/- Per Share","1","16-Mar-2015","17-Mar-2015","-","-"
"TMPV","Tata Motors Passenger Vehicles Limited","EQ","Rights 6:109 @ Premium Rs. 448/- Per Share","2","06-Apr-2015","-","08-Apr-2015","08-Apr-2015"
"TATAMTRDVR","Tata Motors Limited","EQ","Rights 6:109 @ Premium Rs.269/- Per Share","2","06-Apr-2015","-","08-Apr-2015","08-Apr-2015"
"VASCONEQ","Vascon Engineers Limited","EQ","Rights 14:19 @ Premium Rs 5/- Per Share","10","23-Jun-2015","24-Jun-2015","-","-"
"UNIVCABLES","Universal Cables Limited","EQ"," Rights 1:2 @ Premium Rs.41/- Per Share","10","16-Sep-2015","18-Sep-2015","-","-"
"IL&FSTRANS","IL&FS Transportation Networks Limited","EQ"," Rights 1:3 @ Premium Rs.80/- Per Share","10","07-Oct-2015","08-Oct-2015","-","-"
"ASHIMASYN","Ashima Limited","EQ"," Rights : 24:10 At Par","10","30-Oct-2015","02-Nov-2015","-","-"
"JMCPROJECT","JMC Projects (India)  Limited","EQ"," Rights 2:7","2","11-Jan-2016","12-Jan-2016","-","-"
"SPARC","Sun Pharma Advanced Research Company Limited","EQ"," Rights 5: 116 At Premium Rs 244/- Per Share","1","16-Mar-2016","17-Mar-2016","-","-"
"SINTEX","Sintex Industries Limited","EQ"," Dividend - Re 0.70/- Per Share/ Right 26:151","1","08-Aug-2016","09-Aug-2016","-","-"
"CREST","Crest Ventures Limited","EQ"," Rights 1:2@Prem Rs 40","10","15-Sep-2016","16-Sep-2016","-","-"
"KTKBANK","The Karnataka Bank Limited","EQ"," Rights 1:2 @ Premium Rs 60/- Per Share","10","24-Oct-2016","25-Oct-2016","-","-"
"CNOVAPETRO","CIL Nova Petrochemicals Limited","EQ"," Rights  1:1 @ Premium Rs 4.50 Per Share","10","24-Oct-2016","25-Oct-2016","-","-"
"ORIENTPPR","Orient Paper & Industries Limited","EQ"," Rights 1:28 @ Prem Rs 67/- Per Share","1","18-Nov-2016","21-Nov-2016","-","-"
"SOUTHBANK","The South Indian Bank Limited","EQ"," Rights 1:3 @ Premium Rs 13/- Per Share","1","16-Feb-2017","17-Feb-2017","-","-"
"CANBK","Canara Bank","EQ"," Rights 1:10 @ Prem Rs 197/- Per Share","2","17-Feb-2017","20-Feb-2017","-","-"
"KINGFA","Kingfa Science & Technology (India) Limited","EQ"," Rights 18:91 @ Prem Rs 740","10","09-Mar-2017","10-Mar-2017","-","-"
"MAHLIFE","Mahindra Lifespace Developers Limited","EQ"," Rights 1:4 @ Premium Rs 282/-","10","30-Mar-2017","31-Mar-2017","-","-"
"VSSL","Vardhman Special Steels Limited","EQ"," Rights 2:3 @ Premium Rs 40/-","10","07-Apr-2017","10-Apr-2017","-","-"
"INTELLECT","Intellect Design Arena Limited","EQ"," Rights 5:22 @ Premium Rs 81/-","5","17-Jul-2017","18-Jul-2017","-","-"
"INDHOTEL","The Indian Hotels Company Limited","EQ"," Rights 1:5 @ Premium Rs 74/-","1","04-Oct-2017","05-Oct-2017","-","-"
"KARURVYSYA","Karur Vysya Bank Limited","EQ"," Rights 1:6 @ Premium Rs 74/-","2","12-Oct-2017","13-Oct-2017","-","-"
"HIRECT","Hirect Limited","EQ"," Rights 1:10 @ Premium Rs 78/-","2","17-Oct-2017","18-Oct-2017","-","-"
"HCL-INSYS","HCL Infosystems Limited","EQ"," Rights 10:21 @ Premium Rs 45/-","2","31-Oct-2017","01-Nov-2017","-","-"
"VIPCLOTHNG","VIP Clothing Limited","EQ"," Rights 1:4 @ Premium Rs 24/-","2","17-Nov-2017","20-Nov-2017","-","-"
"LAKSHVILAS","Lakshmi Vilas Bank Limited","EQ"," Rights 1:3 @ Premium Rs 112/-","10","05-Dec-2017","06-Dec-2017","-","-"
"SUMEETINDS","Sumeet Industries Limited","EQ"," Rights 3:7 @ Premium Rs 14/-","2","15-Dec-2017","18-Dec-2017","-","-"
"SHALPAINTS","Shalimar Paints Limited","EQ"," Rights 6:32 @ Premium Rs 138/-","2","28-Dec-2017","29-Dec-2017","-","-"
"PEL","Piramal Enterprises Limited","EQ"," Rights 1:23 @ Premium Rs 2378/-","2","31-Jan-2018","01-Feb-2018","-","-"
"TATASTEEL","Tata Steel Limited","EQ"," Rights - 4:25 Fully Paid Up Shares @ Premium Rs 500/- Per Share / 2:25 Partly Paid Up Shares @ Premium Rs 605/- Per Share","1","31-Jan-2018","01-Feb-2018","-","-"
"DHANI","Dhani Services Limited","EQ"," Rights 3:16 @ Premium Rs 238/-","2","09-Feb-2018","12-Feb-2018","-","-"
"HATSUN","Hatsun Agro Product Limited","EQ"," Interim Dividend- Rs 3 Per Share / Rights 1:16 @ Premium Rs 554 Per Share","1","31-May-2018","01-Jun-2018","-","-"
"MAXVIL","Max Ventures and Industries Limited","EQ"," Rights 67:66 @ Premium Rs 51/-","10","21-Jun-2018","22-Jun-2018","-","-"
"SHALPAINTS","Shalimar Paints Limited","EQ"," Rights 3:2 @ Premium Rs 62.50/-","2","06-Nov-2018","09-Nov-2018","-","-"
"HCC","Hindustan Construction Company Limited","EQ"," Rights 49:100 @ Premium Rs 9/-","1","20-Nov-2018","22-Nov-2018","-","-"
"LGBFORGE","LGB Forge Limited","EQ"," Rights 588:1000@ Premium Rs 2/-","1","03-Jan-2019","04-Jan-2019","-","-"
"KREBSBIO","Krebs Biochemicals and Industries Limited","EQ"," Rights 21:100 @ Premium Rs 76 Per Share","10","31-Jan-2019","01-Feb-2019","-","-"
"IDEA","Vodafone Idea Limited","EQ"," Rights 87:38 @ Premium Of Rs 2.50 Per Share","10","29-Mar-2019","02-Apr-2019","-","-"
"BHARATGEAR","Bharat Gears Limited","EQ"," Rights 1:7 @ Premium Rs 95 Per Share","10","02-Apr-2019","03-Apr-2019","-","-"
"BHARTIARTL","Bharti Airtel Limited","EQ"," Rights 19:67 @ Premium Rs 215 Per Share","5","23-Apr-2019","24-Apr-2019","-","-"
"5PAISA","5Paisa Capital Limited","EQ"," Rights 1:1 @ Premium Rs 70 Per Share","10","28-May-2019","29-May-2019","-","-"
"TATASTLLP","Tata Steel Long Products Limited","EQ"," Rights 15:7@ Premium Rs 490 Per Share","10","24-Jun-2019","25-Jun-2019","-","-"
"ZUARI","Zuari Agro Chemicals Limited","EQ"," Rights:14 Compulosry Convertible Debentures For Every 15 Equity Shares","10","13-Sep-2019","16-Sep-2019","-","-"
"PATELENG","Patel Engineering Limited","EQ"," Rights 7:5 @ Premium Rs 8/- Per Share","1","17-Sep-2019","18-Sep-2019","-","-"
"TEXRAIL","Texmaco Rail & Engineering Limited","EQ"," Rights 19:100 @ Premium Rs 45.70/-","1","24-Sep-2019","25-Sep-2019","-","-"
"PEL","Piramal Enterprises Limited","EQ"," Rights 11:83 @ Premium Rs 1298/-","2","30-Dec-2019","31-Dec-2019","-","-"
"BAJAJELEC","Bajaj Electricals Limited","EQ"," Rights 13:118 @ Premium Rs 308/-","2","05-Feb-2020","06-Feb-2020","-","-"
"BROOKS","Brooks Laboratories Limited","EQ"," Rights 9:20 @ Premium Rs 10/-","10","11-Feb-2020","12-Feb-2020","-","-"
"ARROWGREEN","Arrow Greentech Limited","EQ"," Rights 1:5 @ Premium Rs 26/-","10","12-Feb-2020","13-Feb-2020","-","-"
"ARVINDFASN","Arvind Fashions Limited","EQ"," Rights 16:47 @ Premium Rs 146/-","4","17-Mar-2020","18-Mar-2020","-","-"
"RELIANCE","Reliance Industries Limited","EQ"," Rights 1:15 @ Premium Rs 1247","10","13-May-2020","14-May-2020","-","-"
"REFEX","Refex Industries Limited","EQ"," Rights 5:14@ Premium Rs 35/-","2","16-Jun-2020","17-Jun-2020","-","-"
"ABFRL","Aditya Birla Fashion and Retail Limited","EQ"," Rights 9:77 Partly Paid @ Premium Rs 100/-","10","30-Jun-2020","01-Jul-2020","-","-"
"PVRINOX","PVR INOX Limited","EQ"," Rights 7:94 @ Premium Rs 774/-","10","09-Jul-2020","10-Jul-2020","-","-"
"SHRIRAMFIN","Shriram Finance Limited","EQ"," Rights 3:26 @ Premium Rs 560/-","2","09-Jul-2020","10-Jul-2020","-","-"
"M&MFIN","Mahindra & Mahindra Financial Services Limited","EQ"," Rights 1:1 @ Premium Rs 48/-","2","22-Jul-2020","23-Jul-2020","-","-"
"GDL","Gateway Distriparks Limited","EQ"," Rights 4:27 @ Premium Rs 62/-","10","23-Jul-2020","24-Jul-2020","-","-"
"SPENCERS","Spencer's Retail Limited","EQ"," Rights 2:15 @ Premium Rs 70/-","5","28-Jul-2020","29-Jul-2020","-","-"
"SATIN","Satin Creditcare Network Limited","EQ"," Rights 48:125 @ Premium Rs 50/-","10","04-Aug-2020","05-Aug-2020","-","-"
"UNOMINDA","UNO Minda Limited","EQ"," Rights 1:27 @ Premium Rs 248/-","2","14-Aug-2020","17-Aug-2020","-","-"
"RUSHIL","Rushil Decor Limited","EQ"," Rights 1:3 @ Premium Rs 40/-","1","10-Sep-2020","11-Sep-2020","-","-"
"DEEPAKFERT","Deepak Fertilizers and Petrochemicals Corporation Limited","EQ"," Rights 3:20 @ Premium Rs 123/-","10","16-Sep-2020","17-Sep-2020","-","-"
"EIHOTEL","EIH Limited","EQ"," Rights 8:85 @ Premium Rs 63/-","2","22-Sep-2020","23-Sep-2020","-","-"
"MOLDTKPAC","Mold-Tek Packaging Limited","EQ"," Rights 1:50 @ Premium Rs 175  With 6 Warrants For 50 Equity Shares","5","21-Oct-2020","22-Oct-2020","-","-"
"SHOPERSTOP","Shoppers Stop Limited","EQ"," Rights 17:70 @ Premium Rs 135/-","5","19-Nov-2020","20-Nov-2020","-","-"
"PRICOLLTD","Pricol Limited","EQ"," Rights 2:7 @ Premium Rs 29/-","1","24-Nov-2020","25-Nov-2020","-","-"
"URJA","Urja Global Limited","EQ"," Rights 7:71 @ Premium Rs 4/-","1","14-Jan-2021","15-Jan-2021","-","-"
"LTF","L&T Finance Limited","EQ"," Rights 17:74@ Premium Rs 55 Per Share","10","21-Jan-2021","22-Jan-2021","-","-"
"PATINTLOG","Patel Integrated Logistics Limited","EQ"," Rights 27:47","10","17-Feb-2021","18-Feb-2021","-","-"
"ARVINDFASN","Arvind Fashions Limited","EQ"," Rights 3:20 @ Premium Rs 131/-","4","23-Feb-2021","24-Feb-2021","-","-"
"INDIGRID","IndiGrid Infrastructure Trust","IV"," Rights 1:5@ Premium Rs 10/-","100","26-Mar-2021","30-Mar-2021","-","-"
"KDDL","KDDL Limited","EQ"," Rights 7:75 @ Premium Rs 220/-","10","30-Mar-2021","31-Mar-2021","-","-"
"TSFINV","TSF INVESTMENTS LIMITED","EQ"," Rights 23:49 @ Premium Rs 45/-","5","26-Apr-2021","27-Apr-2021","-","-"
